compound_id,compound_name,structural_class,subfamily,property,quantity,unit,value_num,uncertainty,range_low,range_high,value_reported,scale,direction,denominator,setting,emission_band,bimodal,enzyme,enzyme_class,ph_regime,conditions,basis,secondary,provisional,superseded,source_locator,citation_key,doi,url,verification_status
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,318.0,,,,318,,,,,,,,,unstated,"anhydrous DMSO, 298 K",UV-vis absorption maximum; epsilon 79 200 M-1 cm-1; E0-0 3.22 eV,,,,,Chang2023b,10.1039/d3ob00247k,https://pubs.rsc.org/en/content/articlehtml/2023/ob/d3ob00247k,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,318.0,,,,318,,,,,,,,,unstated,"anhydrous DMSO, 298 K, 1e-5 M",UV-vis absorption maximum; epsilon 79200 M-1 cm-1,,,,,Chang2023,10.1002/chem.202302204,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202302204,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,330.0,,,,330,,,,,,,,,unstated,95% ethanol. Second band 269 nm (log epsilon 3.85).,"UV absorption maximum, long-wavelength band; log epsilon 4.26",,,,,White1965,10.1021/jo01018a054,https://doi.org/10.1021/jo01018a054,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,330.0,,,,330,,,,,,,,,unstated,95% ethanol. Second band 269 nm (log epsilon 3.85).,"UV absorption maximum, long-wavelength band; log epsilon 4.26 - independent second report of the same value",,,,,White1966,10.1021/ja00961a030,https://doi.org/10.1021/ja00961a030,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,384.3,,,,384.3,,,,,,,,,acidic,"H2O, pH 11 (phenolate form). Molar extinction 1.82 x 10^4.","lowest-energy absorption band, reported by the authors as 26,020 cm-1; 384.3 nm is the exact reciprocal conversion (1e7/26020), NOT a value printed in the paper",,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,328.1,,,,328.1,,,,,,,,,acidic,"H2O, pH 5.0 (neutral phenol form). Molar extinction 1.82 x 10^4.","lowest-energy absorption band, reported as 30,480 cm-1; 328.1 nm is the exact reciprocal conversion (1e7/30480), NOT printed in the paper",,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,327.0,,,,327,,,,,,,,,unstated,"aqueous, neutral pH or below. pK of the phenol 8.25.",absorption peak of the neutral (phenol) form,,,,,Seliger1961,,https://pmc.ncbi.nlm.nih.gov/articles/PMC223109/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,381.0,,,,381,,,,,,,,,physiological or basic,"aqueous, alkaline pH. pK of the phenol 8.25.",absorption peak of the phenolate form,,,,,Seliger1961,,https://pmc.ncbi.nlm.nih.gov/articles/PMC223109/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,327.0,,,,327,,,,,,,,,physiological or basic,d-luciferin sodium salt in GTA-NaOH buffer pH 8.0,working absorption maximum with log epsilon = 4.27 used for concentration assay (epsilon327 = 1.86 x 10^4 M-1 cm-1),,,,,Wang2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,330.0,,,,330,,,,,,,,,unstated,solvent not restated in this table; 95% ethanol in the 1965 and 1966 printings of the same numbers,"UV absorption maximum, log epsilon 4.26; second band 269 (3.85). THIRD independent printing of the identical pair (White 1963, 1965 and 1966 all give 269 (3.85) / 330 (4.26)).",,,,,White1963,10.1021/ja00886a019,https://doi.org/10.1021/ja00886a019,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,386.0,,,,386,,,,,,,,,pH series or pH independent,pKa determination by absorbance vs pH over pH 7.0-11.0,"absorption maximum of the ANIONIC (phenolate) form of D-luciferin, reached at the top of the pH titration (pKa 8.5)",,,,,Branchini1989,10.1111/j.1751-1097.1989.tb08442.x,https://doi.org/10.1111/j.1751-1097.1989.tb08442.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,269.0,,,,269 nm (log e 3.85) and 330 nm (log e 4.26),,,,,,,,,unstated,95% ethanol,UV absorption of authentic firefly luciferin (compound 1) measured alongside the hydroxy analogues,,,,,White1966b,10.1021/jo01343a039,https://doi.org/10.1021/jo01343a039,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absorption maximum,,nm,330.0,,,,330,,,,,,,"n/a (substrate only, no enzyme)",other,physiological or basic,"Shinde2006 spectroscopic characterisation:; all spectra recorded at room temperature. Absorption on a SpectraMax-Plus microplate spectrophotometer; fluorescence AND bioluminescence on a Spectra MAX Gemini EM fluorescence/luminescence PLATE READER (Molecular Devices) - i.e. an uncorrected plate-reader monochromator, not a calibrated spectrograph.",Absorption maximum of the free substrate.,,,,Figure 2,Shinde2006,10.1021/bi060475o,https://doi.org/10.1021/bi060475o,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,529.0,,,,529,,,,,,,,,acidic,"Fluorescence emission maximum of the free substrate; acidic vs basic form; Table 1 column lambda_em, obtained from SI Figure S3.","fluorescence emission maximum, acidic form",,,,Table 1,Takakura2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,530.0,,,,530,,,,,,,,,physiological or basic,"Fluorescence emission maximum of the free substrate; acidic vs basic form; Table 1 column lambda_em, obtained from SI Figure S3.","fluorescence emission maximum, basic form",,,,Table 1,Takakura2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,528.0,,,,528,,,,,,,,,unstated,"Fluorescence emission maximum in phosphate-buffered saline (PBS); SI Supplementary Table 1, column.",fluorescence emission maximum,,,,Table 1,Mofford2014b,10.1021/ja505795s,https://pmc.ncbi.nlm.nih.gov/articles/PMC4183640/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,537.0,,,,537,,,,,,,,,acidic,"Perkin-Elmer LS-5B Luminescence Spectrometer + Model 3600 Data Station, excitation 340 nm, corrected for the Perkin-Elmer R928 PMT response; measured at pH 6.0, 7.8, 8.6 and 9.3 - lambda_max independent of pH.",fluorescence emission maximum of free D-luciferin (internal reference),,,,,Woodroofe2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,530.0,,,,530,,,,,,,,,physiological or basic,"free acid 1:10 in TEM buffer, pH 7, room temperature","fluorescence emission maximum of D-luciferin at pH 7, implied by the stated 58 nm red shift of infraluciferin to 588 nm",,,,,Jathoul2014,10.1002/anie.201405955,https://pmc.ncbi.nlm.nih.gov/articles/PMC4501308/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,538.0,,,,538,,,,,,,,,physiological or basic,"racemic free acid, 50 uM in TEM buffer pH 7.8, Tecan Infinite M200, +/- 5 nm; quantum yields from absorbances < 0.1 AU at 50 uM in 100 uL, eosin Y in basic ethanol as standard (490 nm excitation, QY 0.67)","fluorescence emission maximum of D-luciferin, Table 1 (internal reference)",,,,Table 1,Anderson2017,10.1039/c6ra19541e,https://pmc.ncbi.nlm.nih.gov/articles/PMC5361108/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,535.0,,,,535,,,,,,,,,acidic,"Horiba Jobin-Yvon iHR imaging spectrometer with liquid-N2-cooled CCD, 1 nm slits, corrected for CCD spectral response; 25 degC, 0.8 mL quartz cuvette, 400-900 nm; solutions in 50 mM NaHCO3 pH 11 with absorbance 0.10 AU at 370 nm; excitation at 370 nm. Quantum yields relative to fluorescein (0.79 in 0.1 M NaOH) and quinine sulfate (0.55 in 0.5 M H2SO4).","fluorescence emission maximum of the FREE SUBSTRATE (not oxyluciferin), Figure S8",,,,Figure S8,Branchini2022,10.3390/ijms23052451,https://doi.org/10.3390/ijms23052451,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,537.0,,,,537,,,,,,,,,acidic,"Perkin-Elmer LS-5B Luminescence Spectrometer, excitation 340 nm, spectra corrected for the Perkin-Elmer R928 PMT response; measured at pH 6.0, 7.8, 8.6 and 9.3 - the positions of lambda_max were independent of pH.",FLUORESCENCE emission maximum of free D-luciferin (internal reference); independent of pH,,,,,Branchini1989,10.1111/j.1751-1097.1989.tb08442.x,https://doi.org/10.1111/j.1751-1097.1989.tb08442.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,423.0,,,,423,,,,,,,,,unstated,10 uM luciferin in acetonitrile,FLUORESCENCE emission maximum of the LUCIFERIN in ACETONITRILE,,,,,Yao2020,10.1021/jacs.0c01064,https://pmc.ncbi.nlm.nih.gov/articles/PMC7867379/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,527.0,,,,527,,,,,,,,,unstated,10 uM luciferin in water,FLUORESCENCE emission maximum of the LUCIFERIN in WATER,,,,,Yao2020,10.1021/jacs.0c01064,https://pmc.ncbi.nlm.nih.gov/articles/PMC7867379/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,446.0,,,,446,,,,,,,,,unstated,"anhydrous DMSO, 298 K","FLUORESCENCE emission maximum, excited at the absorption maximum",,,,,Chang2023b,10.1039/d3ob00247k,https://pubs.rsc.org/en/content/articlehtml/2023/ob/d3ob00247k,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,446.0,,,,446,,,,,,,,,unstated,"anhydrous DMSO, 298 K, 1e-5 M",FLUORESCENCE emission maximum,,,,,Chang2023,10.1002/chem.202302204,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202302204,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,537.0,,,,537,,,,,,,,,pH series or pH independent,"H2O, pH 11 (phenolate). Same pair of values is listed for H2O pH 5.0.",The companion column 1/nu-m (reciprocal of the peak on a dN/dnu plot) is 541 nm.,,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,415.0,,,,415,,,,,,,,,acidic,"EtOH (>99%) plus acetate buffer, pH 5.0","lambda-m (dI/dlambda peak); companion 1/nu-m = 420 nm. Emission of the NEUTRAL phenol, which survives in a non-aqueous medium because excited-state proton transfer is suppressed.",,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,538.0,,,,538,,,,,,,,,physiological or basic,"glycylglycine buffer pH 8.0, 25 C, excitation with the 365-366 nm lines of a mercury arc lamp","peak of the true normalized fluorescence emission spectrum (Figure 4, curve C)",,,,Figure 4,White1966,10.1021/ja00961a030,https://doi.org/10.1021/ja00961a030,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,535.0,,,,535,,,,,,,,,pH series or pH independent,aqueous; peak position independent of pH although the absorption peak shifts with pK 8.25 (the classical excited-state proton-transfer signature),peak of the fluorescence emission spectrum; explicitly pH-independent,,,,,Seliger1961,,https://pmc.ncbi.nlm.nih.gov/articles/PMC223109/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence emission maximum,,nm,530.0,,,,530,,,,,,,"n/a (substrate only, no enzyme)",other,physiological or basic,"Shinde2006 spectroscopic characterisation:; all spectra recorded at room temperature. Absorption on a SpectraMax-Plus microplate spectrophotometer; fluorescence AND bioluminescence on a Spectra MAX Gemini EM fluorescence/luminescence PLATE READER (Molecular Devices) - i.e. an uncorrected plate-reader monochromator, not a calibrated spectrograph.","Fluorescence emission maximum of the free substrate, excitation 324 nm.",,,,,Shinde2006,10.1021/bi060475o,https://doi.org/10.1021/bi060475o,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.83,,,,0.83,absolute,,,,,,,,,"370 nm excitation; quantum yields relative to fluorescein in 0.1 M NaOH (0.79) and quinine sulfate in 0.5 M H2SO4 (0.55); measured in 50 mM glycylglycine pH 8.2, 50 mM AMPD pH 8.5 or 9.1, or 50 mM NaHCO3 pH 11.0; values within +/- 5%; 50 mM NaHCO3 pH 11.0","fluorescence quantum yield of the free substrate at pH 11.0 (fully deprotonated), Table 1",,,,Table 1,Woodroofe2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.71,,,,0.71,absolute,,,,,,,,,"370 nm excitation; quantum yields relative to fluorescein in 0.1 M NaOH (0.79) and quinine sulfate in 0.5 M H2SO4 (0.55); measured in 50 mM glycylglycine pH 8.2, 50 mM AMPD pH 8.5 or 9.1, or 50 mM NaHCO3 pH 11.0; values within +/- 5%; pH 8.2","fluorescence quantum yield of the free substrate at its bioluminescence pH optimum, Table 1",,,,Table 1,Woodroofe2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.5,,,,0.5,absolute,,,,,,,,,"racemic free acid, 50 uM in TEM buffer pH 7.8, Tecan Infinite M200, +/- 5 nm; quantum yields from absorbances < 0.1 AU at 50 uM in 100 uL, eosin Y in basic ethanol as standard (490 nm excitation, QY 0.67)","fluorescence quantum yield of free D-luciferin, Table 1 (internal reference)",,,,Table 1,Anderson2017,10.1039/c6ra19541e,https://pmc.ncbi.nlm.nih.gov/articles/PMC5361108/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.83,,,,0.83,absolute,,,,,,,,,"Horiba Jobin-Yvon iHR imaging spectrometer with liquid-N2-cooled CCD, 1 nm slits, corrected for CCD spectral response; 25 degC, 0.8 mL quartz cuvette, 400-900 nm; solutions in 50 mM NaHCO3 pH 11 with absorbance 0.10 AU at 370 nm; excitation at 370 nm. Quantum yields relative to fluorescein (0.79 in 0.1 M NaOH) and quinine sulfate (0.55 in 0.5 M H2SO4).","fluorescence quantum yield of the free substrate at pH 11, Figure S8. The paper notes these correlate linearly (R2 = 0.99) with the longest achievable BL maximum, and that the six extended-conjugation substrates all have low values (0.02-0.16) while LH2 and the three equally conjugated analogues are 0.67-0.83.",,,,Figure S8,Branchini2022,10.3390/ijms23052451,https://doi.org/10.3390/ijms23052451,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.62,,,,0.62,absolute,,,,,,,,,"H2O, pH 11 (phenolate form)",fluorescence quantum yield,,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.25,,,,0.25,absolute,,,,,,,,,"H2O, pH 5.0 (neutral phenol; emission is nevertheless from the phenolate formed by excited-state proton transfer)",fluorescence quantum yield,,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,fluorescence quantum yield,,-,0.03,,,,0.03,absolute,,,,,,,,,"EtOH (>99%) plus acetate buffer, pH 5.0",fluorescence quantum yield,,,,,Morton1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,557.0,,,,557,,,,,,,"purified firefly luciferase (luc) expressed from E. coli, 10 nM",wild-type firefly luciferase,physiological or basic,"100 uM substrate, 10 nM luciferase; 20 mM Tris pH 7.4, 0.1 mM EDTA, 1 mM DTT, 0.8 mg/mL BSA",peak of the normalised bioluminescence emission spectrum,,,,,Reddy2010,10.1021/ja104525m,https://doi.org/10.1021/ja104525m,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,567.0,,,,567,,,,,,,firefly luciferase: Promega QuantiLum recombinant Photinus pyralis luciferase E1701 and Sigma L9506.,wild-type firefly luciferase,physiological or basic,"Ioka2016, the assay behind Table S1 : 20 uL luciferin derivative (100 uM) + 20 uL firefly luciferase solution (0.01 mg/mL) + 20 uL potassium phosphate buffer (500 mM, pH 8); reaction initiated by adding 40 uL ATP-Mg2+ (200 uM) at room temperature; a low ATP-Mg2+ concentration was used because high concentrations gave a strong background signal. INTEGRATION TIME 30 s at 0.1 s sampling intervals. Intensities on an ATTO AB-2200 or AB-2700 luminometer (Hamamatsu R4220 PMT); spectra on an ATTO AB-1850 spectrophotometer, 400-750 nm in 1 nm increments.",,,,,Figure 2c,Harwood2011,10.1016/j.chembiol.2011.09.019,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273327/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,559.0,,,,559,,,,,,,"crystalline firefly luciferase (Photinus luciferin: oxygen 4-oxidoreductase, EC 1.13.12.7) isolated from firefly lanterns by the affinity-chromatography method of Branchini et al. 1980; average specific activity 20 units/mg; 1 unit = 10^13 photons s^-1. Intro identifies the firefly as Photinus pyralis; Methods say only.",wild-type firefly luciferase,physiological or basic,"25 mM glycylglycine pH 7.8 (also 25 mM Tris pH 8.6 and pH 9.3), 4.8 mM MgSO4. Perkin-Elmer LS-5B luminescence spectrometer with the excitation source shunted, spectra corrected for the PMT spectral response; reaction started in a disposable semimicro cuvette by adding 30 uL of 20 mM ATP to 750 uL buffer containing 4.8 mM MgSO4, 30 uL of 1.25 mM substrate (Fig. 3 caption: 31 uM bioluminescent substrate) and ca. 0.7 units of luciferase. Buffers as for the enzyme assays. TEMPERATURE NOT STATED.","bioluminescence emission maximum of D-luciferin at pH 7.8 (its pH optimum); Table 1 gives the same 559 nm at pH 7.8, 8.6 and 9.3.",,,,Table 1,Conley2012,10.1002/anie.201105653,https://pmc.ncbi.nlm.nih.gov/articles/PMC3494413/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,560.0,,,,560,,,,,,,Photinus pyralis luciferase,wild-type firefly luciferase,physiological or basic,stated in the introduction alongside the 0.48 quantum yield; Kiyama's own buffer throughout is 0.15 M GTA at pH 8.0,,,,,,Wu2017,10.1021/acs.analchem.6b03510,https://pmc.ncbi.nlm.nih.gov/articles/PMC5417088/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,556.0,,553.0,559.0,553-559,,,,,,,firefly luciferase (unspecified; introductory statement with literature citation [3]),wild-type firefly luciferase,unstated,Ioka2016 introduction; no conditions given.,"Introductory range, not a measurement of this paper.",TRUE,,,,Conley2012,10.1002/anie.201105653,https://pmc.ncbi.nlm.nih.gov/articles/PMC3494413/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,562.0,,,,562,,,,,,,"Photinus pyralis luciferase (Seliger & McElroy's preparation, as quoted by Ando 2008)",wild-type firefly luciferase,physiological or basic,pH 7.6 (the pH at which Seliger & McElroy quote 88 % QY); yellow-green emission at high pH turning to a red emission peaking at 616 nm as the pH falls,,,,,,Kuchimaru2016,10.1038/ncomms11856,https://doi.org/10.1038/ncomms11856,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,560.0,,,,560,,,,,,,Photinus pyralis luciferase,wild-type firefly luciferase,physiological or basic,"stated in introduction, pH 8.0 buffer",,,,,,Kiyama2018,10.1016/j.tet.2017.11.051,https://doi.org/10.1016/j.tet.2017.11.051,secondary
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,570.0,,,,570,,,,,,,"recombinant Photinus pyralis (Ppy) luciferase (QuantiLum recombinant luciferase, Promega)",wild-type firefly luciferase,pH series or pH independent,"Kitada2018 SI, + SI Table 3 (compound 1a): recombinant Ppy luciferase (QuantiLum recombinant luciferase, Promega) in potassium phosphate buffer (KPB); luciferin stock in KPB 50 mM pH 6.0 (5 uL) + Luc in KPB 50 mM pH 8.0 / 35% glycerol (5 uL) + KPB 500 mM pH 8.0 (5 uL), started by 10 uL ATP-Mg; total 25 uL. FINAL: substrate 50 uM, luciferase 0.02 mg/mL, ATP-Mg 4 mM; the reaction mixture was at pH 8.0 (pH test paper), room temperature. ATTO AB-1850 spectrophotometer, slit 1.0 mm, data interval 1 nm, exposure 15 s.",bioluminescence emission maximum,,,,Table 3,Kitada2020,10.1002/chir.23236,https://doi.org/10.1002/chir.23236,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,570.0,,,,570,,,,,,,recombinant Photinus pyralis luciferase,wild-type firefly luciferase,unstated,Table 1; recombinant Ppy luciferase,,,,,Table 1,Kitada2018,10.1016/j.tetlet.2018.01.078,https://doi.org/10.1016/j.tetlet.2018.01.078,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,566.0,,,,566,,,,,,,Photinus pyralis luciferase (Sigma-Aldrich L9506),wild-type firefly luciferase,physiological or basic,0.1 M Tris-HCl pH 8.0 (chosen so that the sample spectrum matches the calibration reference solution),"luminescence maximum of the bioluminescence reaction, Table 1 column a",,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,bioluminescence emission maximum,,nm,560.0,,,,560,,,,,,,"Photinus pyralis luciferase, recombinant wild type",wild-type firefly luciferase,physiological or basic,"24 C, pH 8.0; Table 1",,,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,secondary
