citation_key,authors,title,journal,volume,issue,pages,year,doi,url,doi_verified_via_crossref,used_for_a_value
Kiyama2018,"Kiyama M, Iwano S, Otsuka S, Lu SW, Obata R, Miyawaki A, Hirano T, Maki SA",Quantum yield improvement of red-light-emitting firefly luciferin analogues for in vivo bioluminescence imaging,Tetrahedron,74,6,652-660,2018,10.1016/j.tet.2017.11.051,https://doi.org/10.1016/j.tet.2017.11.051,TRUE,TRUE
Kojima2013,"Kojima R, Takakura H, Ozawa T, Tada Y, Nagano T, Urano Y",Rational Design and Development of Near-Infrared-Emitting Firefly Luciferins Available In Vivo,Angewandte Chemie International Edition,52,4,1175-1179,2013,10.1002/anie.201205151,https://doi.org/10.1002/anie.201205151,TRUE,FALSE
Kuchimaru2016,"Kuchimaru T, Iwano S, Kiyama M, Mitsumata S, Kadonosono T, Niwa H, Maki S, Kizaka-Kondoh S",A luciferin analogue generating near-infrared bioluminescence achieves highly sensitive deep-tissue imaging,Nature Communications,7,1,11856 (article number),2016,10.1038/ncomms11856,https://doi.org/10.1038/ncomms11856,TRUE,TRUE
Love2023,"Love, A. C.; Caldwell, D. R.; Kolbaba-Kartchner, B.; Townsend, K. M.; Halbers, L. P.; Yao, Z.; Brennan, C. K.; Ivanic, J.; Hadjian, T.; Mills, J. H.; Schnermann, M. J.; Prescher, J. A.",Red-Shifted Coumarin Luciferins for Improved Bioluminescence Imaging,Journal of the American Chemical Society,145,,3335-3345,2023,10.1021/jacs.2c07220,https://pmc.ncbi.nlm.nih.gov/articles/PMC10519142/,TRUE,TRUE
McCutcheon2012,"McCutcheon, D. C.; Paley, M. A.; Steinhardt, R. C.; Prescher, J. A.",Expedient Synthesis of Electronically Modified Luciferins for Bioluminescence Imaging,Journal of the American Chemical Society,134,,7604-7607,2012,10.1021/ja301493d,https://pmc.ncbi.nlm.nih.gov/articles/PMC3613990/,TRUE,TRUE
McCutcheon2015,"McCutcheon, D. C.; Porterfield, W. B.; Prescher, J. A.",Rapid and scalable assembly of firefly luciferase substrates,Organic & Biomolecular Chemistry,13,,2117-2121,2015,10.1039/c4ob02529f,https://pmc.ncbi.nlm.nih.gov/articles/PMC4318752/,TRUE,FALSE
Meroni2009,Giuseppe Meroni; Mehdi Rajabi; Enzo Santaniello,"D-Luciferin, derivatives and analogues: synthesis and in vitro/in vivo luciferase-catalyzed bioluminescent activity",ARKIVOC,2009,1 (i),265-288,2009,10.3998/ark.5550190.0010.109,https://doi.org/10.3998/ark.5550190.0010.109,TRUE,TRUE
Miller2018,"Miller, S. C.; Mofford, D. M.; Adams, S. T., Jr.",Lessons Learned from Luminous Luciferins and Latent Luciferases,ACS Chemical Biology,13,,1734-1740,2018,10.1021/acschembio.7b00964,https://pmc.ncbi.nlm.nih.gov/articles/PMC6054551/,TRUE,TRUE
Miura2013,"Miura C, Kiyama M, Iwano S, Ito K, Obata R, Hirano T, Maki S, Niwa H","Synthesis and luminescence properties of biphenyl-type firefly luciferin analogs with a new, near-infrared light-emitting bioluminophore",Tetrahedron,69,46,9726-9734,2013,10.1016/j.tet.2013.09.018,https://doi.org/10.1016/j.tet.2013.09.018,TRUE,TRUE
Mofford2014a,"Mofford, D. M.; Reddy, G. R.; Miller, S. C.",Latent luciferase activity in the fruit fly revealed by a synthetic luciferin,Proceedings of the National Academy of Sciences of the United States of America,111,,4443-4448,2014,10.1073/pnas.1319300111,https://pmc.ncbi.nlm.nih.gov/articles/PMC3970535/,TRUE,TRUE
Mofford2014b,"Mofford, D. M.; Reddy, G. R.; Miller, S. C.",Aminoluciferins Extend Firefly Luciferase Bioluminescence into the Near-Infrared and Can Be Preferred Substrates over D-Luciferin,Journal of the American Chemical Society,136,,13277-13282,2014,10.1021/ja505795s,https://pmc.ncbi.nlm.nih.gov/articles/PMC4183640/,TRUE,TRUE
Mofford2015a,"Mofford, D. M.; Adams, S. T., Jr.; Reddy, G. S. K. K.; Reddy, G. R.; Miller, S. C.",Luciferin Amides Enable in Vivo Bioluminescence Detection of Endogenous Fatty Acid Amide Hydrolase Activity,Journal of the American Chemical Society,137,,8684-8687,2015,10.1021/jacs.5b04357,https://doi.org/10.1021/jacs.5b04357,TRUE,FALSE
Mofford2015b,"Mofford, D. M.; Miller, S. C.",Luciferins Behave Like Drugs,ACS Chemical Neuroscience,6,,1273-1275,2015,10.1021/acschemneuro.5b00195,https://doi.org/10.1021/acschemneuro.5b00195,TRUE,FALSE
Mofford2017,"Mofford, D. M.; Liebmann, K. L.; Sankaran, G. S.; Reddy, G. S. K. K.; Reddy, G. R.; Miller, S. C.",Luciferase Activity of Insect Fatty Acyl-CoA Synthetases with Synthetic Luciferins,ACS Chemical Biology,12,,2946-2951,2017,10.1021/acschembio.7b00813,https://pmc.ncbi.nlm.nih.gov/articles/PMC5836727/,TRUE,TRUE
Morton1969,Richard A. Morton; Thomas A. Hopkins; Howard H. Seliger,Spectroscopic properties of firefly luciferin and related compounds; an approach to product emission,Biochemistry,8,4,1598-1607,1969,10.1021/bi00832a041,https://doi.org/10.1021/bi00832a041,TRUE,TRUE
Nakayama2020,"Nakayama J, Saito R, Hayashi Y, Kitada N, Tamaki S, Han Y, Semba K, Maki SA",High Sensitivity In Vivo Imaging of Cancer Metastasis Using a Near-Infrared Luciferin Analogue seMpai,International Journal of Molecular Sciences,21,21,7896,2020,10.3390/ijms21217896,https://doi.org/10.3390/ijms21217896,TRUE,TRUE
Niwa2010,"Niwa K, Ichino Y, Kumata S, Nakajima Y, Hiraishi Y, Kato D, Viviani VR, Ohmiya Y",Quantum Yields and Kinetics of the Firefly Bioluminescence Reaction of Beetle Luciferases,Photochemistry and Photobiology,86,5,1046-1049,2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,TRUE,TRUE
Niwa2010b,"Niwa K, Ichino Y, Ohmiya Y",Quantum Yield Measurements of Firefly Bioluminescence Reactions Using a Commercial Luminometer,Chemistry Letters,39,3,291-293,2010,10.1246/cl.2010.291,https://doi.org/10.1246/cl.2010.291,TRUE,TRUE
Niwa2023,"Niwa K, Kubota H, Enomoto T, Ichino Y, Ohmiya Y",Quantitative Analysis of Bioluminescence Optical Signal,Biosensors,13,2,223,2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,TRUE,TRUE
Ogawa2021,"Ogawa H, Ono R, Noguchi Y, Kitada N, Saito-Moriya R, Maki SA, Akiyama H, Itabashi H, Hiyama M",Absorption Spectra for Firefly Bioluminescence Substrate Analog: TokeOni in Various pH Solutions,Photochemistry and Photobiology,97,5,1016-1022,2021,10.1111/php.13458,https://doi.org/10.1111/php.13458,TRUE,TRUE
Ono2023,"Ono R, Osawa K, Takahashi Y, Noguchi Y, Kitada N, Saito-Moriya R, Hirano T, Maki SA, Shibata K, Akiyama H, Kanno K, Itabashi H, Hiyama M",Quantum yield of near-infrared bioluminescence with firefly luciferin analog: AkaLumine,Journal of Photochemistry and Photobiology A: Chemistry,434,,114270 (article number),2023,10.1016/j.jphotochem.2022.114270,https://doi.org/10.1016/j.jphotochem.2022.114270,TRUE,TRUE
Rathbun2017,"Rathbun, C. M.; Porterfield, W. B.; Jones, K. A.; Sagoe, M. J.; Reyes, M. R.; Hua, C. T.; Prescher, J. A.",Parallel Screening for Rapid Identification of Orthogonal Bioluminescent Tools,ACS Central Science,3,,1254-1261,2017,10.1021/acscentsci.7b00394,https://pmc.ncbi.nlm.nih.gov/articles/PMC5746862/,TRUE,TRUE
Reddy2010,Gadarla Randheer Reddy; Walter C. Thompson; Stephen C. Miller,Robust Light Emission from Cyclic Alkylaminoluciferin Substrates for Firefly Luciferase,Journal of the American Chemical Society,132,39,13586-13587,2010,10.1021/ja104525m,https://doi.org/10.1021/ja104525m,TRUE,TRUE
Rylands2020,Marwaan Rylands; Anwar Jardine,"Synthesis and evaluation of D-thioluciferin, a bioluminescent 6'-thio analog of D-luciferin",Arkivoc,2020,5 (part v),176-189,2021,10.24820/ark.5550190.p011.420,https://doi.org/10.24820/ark.5550190.p011.420,TRUE,TRUE
Saito2019,"Saito R, Kuchimaru T, Higashi S, Lu SW, Kiyama M, Iwano S, Obata R, Hirano T, Kizaka-Kondoh S, Maki SA",Synthesis and Luminescence Properties of Near-Infrared N-Heterocyclic Luciferin Analogues for In Vivo Optical Imaging,Bulletin of the Chemical Society of Japan,92,3,608-618,2019,10.1246/bcsj.20180350,https://doi.org/10.1246/bcsj.20180350,TRUE,TRUE
SaitoMoriya2021,"Saito-Moriya R, Nakayama J, Kamiya G, Kitada N, Obata R, Maki SA, Aoyama H",How to Select Firefly Luciferin Analogues for In Vivo Imaging,International Journal of Molecular Sciences,22,4,1848,2021,10.3390/ijms22041848,https://doi.org/10.3390/ijms22041848,TRUE,TRUE
Seliger1961,H. H. Seliger; W. D. McElroy; E. H. White; G. F. Field,"Stereospecificity and Firefly Bioluminescence, A Comparison of Natural and Synthetic Luciferins",Proceedings of the National Academy of Sciences of the United States of America,47,8,1129-1134,1961,,https://pmc.ncbi.nlm.nih.gov/articles/PMC223109/,FALSE,TRUE
Sharma2017,"Sharma, D. K.; Adams, S. T., Jr.; Liebmann, K. L.; Miller, S. C.",Rapid Access to a Broad Range of 6'-Substituted Firefly Luciferin Analogues Reveals Surprising Emitters and Inhibitors,Organic Letters,19,,5836-5839,2017,10.1021/acs.orglett.7b02806,https://pmc.ncbi.nlm.nih.gov/articles/PMC5836729/,TRUE,TRUE
Sharma2019,"Sharma, D. K.; Adams, S. T., Jr.; Liebmann, K. L.; Choi, A.; Miller, S. C.",Sulfonamides Are an Overlooked Class of Electron Donors in Luminogenic Luciferins and Fluorescent Dyes,Organic Letters,21,,1641-1644,2019,10.1021/acs.orglett.9b00173,https://pmc.ncbi.nlm.nih.gov/articles/PMC6474412/,TRUE,TRUE
Shinde2006,Rajesh Shinde; Julie Perkins; Christopher H. Contag,Luciferin Derivatives for Enhanced in Vitro and in Vivo Bioluminescence Assays,Biochemistry,45,37,11103-11112,2006,10.1021/bi060475o,https://doi.org/10.1021/bi060475o,TRUE,TRUE
Steinhardt2016,"Steinhardt, R. C.; O'Neill, J. M.; Rathbun, C. M.; McCutcheon, D. C.; Paley, M. A.; Prescher, J. A.",Design and Synthesis of an Alkynyl Luciferin Analogue for Bioluminescence Imaging,Chemistry - A European Journal,22,,3671-3675,2016,10.1002/chem.201503944,https://pmc.ncbi.nlm.nih.gov/articles/PMC4868354/,TRUE,TRUE
Steinhardt2017,"Steinhardt, R. C.; Rathbun, C. M.; Krull, B. T.; Yu, J. M.; Yang, Y.; Nguyen, B. D.; Kwon, J.; McCutcheon, D. C.; Jones, K. A.; Furche, F.; Prescher, J. A.",Brominated Luciferins Are Versatile Bioluminescent Probes,ChemBioChem,18,,96-100,2017,10.1002/cbic.201600564,https://pmc.ncbi.nlm.nih.gov/articles/PMC5304417/,TRUE,TRUE
Stowe2019,"Stowe, C. L.; Burley, T. A.; Allan, H.; Vinci, M.; Kramer-Marek, G.; Ciobota, D. M.; Parkinson, G. N.; Southworth, T. L.; Agliardi, G.; Hotblack, A.; Lythgoe, M. F.; Branchini, B. R.; Kalber, T. L.; Anderson, J. C.; Pule, M. A.",Near-infrared dual bioluminescence imaging in mouse models of cancer using infraluciferin,eLife,8,,e45801,2019,10.7554/eLife.45801,https://pmc.ncbi.nlm.nih.gov/articles/PMC6828332/,TRUE,TRUE
Takakura2010,"Takakura H, Sasakura K, Ueno T, Urano Y, Terai T, Hanaoka K, Tsuboi T, Nagano T",Development of Luciferin Analogues Bearing an Amino Group and Their Application as BRET Donors,Chemistry - An Asian Journal,5,9,2053-2061,2010,10.1002/asia.201000219,https://doi.org/10.1002/asia.201000219,TRUE,TRUE
Takakura2011,"Takakura H, Kojima R, Urano Y, Terai T, Hanaoka K, Nagano T",Aminoluciferins as Functional Bioluminogenic Substrates of Firefly Luciferase,Chemistry - An Asian Journal,6,7,1800-1810,2011,10.1002/asia.201000873,https://doi.org/10.1002/asia.201000873,TRUE,TRUE
Takakura2012,"Takakura H, Kojima R, Ozawa T, Nagano T, Urano Y",Development of 5'- and 7'-Substituted Luciferin Analogues as Acid-Tolerant Substrates of Firefly Luciferase,ChemBioChem,13,10,1424-1427,2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,TRUE,TRUE
Takakura2021,Takakura H,"Molecular Design of d-Luciferin-Based Bioluminescence and 1,2-Dioxetane-Based Chemiluminescence Substrates for Altered Output Wavelength and Detecting Various Molecules",Molecules,26,6,1618,2021,10.3390/molecules26061618,https://doi.org/10.3390/molecules26061618,TRUE,TRUE
Wang2011,"Wang Y, Kubota H, Yamada N, Irie T, Akiyama H",Quantum Yields and Quantitative Spectra of Firefly Bioluminescence with Various Bivalent Metal Ions,Photochemistry and Photobiology,87,4,846-852,2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,TRUE,TRUE
White1963,Emil H. White; Frank McCapra; George F. Field,The Structure and Synthesis of Firefly Luciferin,Journal of the American Chemical Society,85,3,337-343,1963,10.1021/ja00886a019,https://doi.org/10.1021/ja00886a019,TRUE,TRUE
White1965,Emil H. White; Helmut Woerther; George F. Field; William D. McElroy,Analogs of Firefly Luciferin,The Journal of Organic Chemistry,30,7,2344-2348,1965,10.1021/jo01018a054,https://doi.org/10.1021/jo01018a054,TRUE,TRUE
White1966,Emil H. White; Helmut Woerther; Howard H. Seliger; William D. McElroy,Amino Analogs of Firefly Luciferin and Biological Activity Thereof,Journal of the American Chemical Society,88,9,2015-2019,1966,10.1021/ja00961a030,https://doi.org/10.1021/ja00961a030,TRUE,TRUE
White1966b,Emil H. White; Helmut Woerther,Analogs of Firefly Luciferin. III,The Journal of Organic Chemistry,31,5,1484-1488,1966,10.1021/jo01343a039,https://doi.org/10.1021/jo01343a039,TRUE,TRUE
Woodroofe2012,Carolyn C. Woodroofe; Poncho L. Meisenheimer; Dieter H. Klaubert; Yumi Kovic; Justin C. Rosenberg; Curran E. Behney; Tara L. Southworth; Bruce R. Branchini,Novel Heterocyclic Analogues of Firefly Luciferin,Biochemistry,51,49,9807-9813,2012,10.1021/bi301411d,https://doi.org/10.1021/bi301411d,TRUE,TRUE
Wu2017,"Wu, W.; Su, J.; Tang, C.; Bai, H.; Ma, Z.; Zhang, T.; Yuan, Z.; Li, Z.; Zhou, W.; Zhang, H.; Liu, Z.; Wang, Y.; Zhou, Y.; Du, L.; Gu, L.; Li, M.",cybLuc: An Effective Aminoluciferin Derivative for Deep Bioluminescence Imaging,Analytical Chemistry,89,,4808-4816,2017,10.1021/acs.analchem.6b03510,https://pmc.ncbi.nlm.nih.gov/articles/PMC5417088/,TRUE,TRUE
Yao2020,"Yao, Z.; Zhang, B. S.; Steinhardt, R. C.; Mills, J. H.; Prescher, J. A.",Multicomponent Bioluminescence Imaging with a pi-Extended Luciferin,Journal of the American Chemical Society,142,,14080-14089,2020,10.1021/jacs.0c01064,https://pmc.ncbi.nlm.nih.gov/articles/PMC7867379/,TRUE,TRUE
Yao2021,"Yao, Z.; Caldwell, D. R.; Love, A. C.; Kolbaba-Kartchner, B.; Mills, J. H.; Schnermann, M. J.; Prescher, J. A.",Coumarin luciferins and mutant luciferases for robust multi-component bioluminescence imaging,Chemical Science,12,,11684-11691,2021,10.1039/d1sc03114g,https://pmc.ncbi.nlm.nih.gov/articles/PMC8442684/,TRUE,TRUE
Zhang2018,"Zhang, B. S.; Jones, K. A.; McCutcheon, D. C.; Prescher, J. A.",Pyridone Luciferins and Mutant Luciferases for Bioluminescence Imaging,ChemBioChem,19,,470-477,2018,10.1002/cbic.201700542,https://pmc.ncbi.nlm.nih.gov/articles/PMC6163054/,TRUE,TRUE
